customer_id,recency,frequency,monetary_net,monetary_gross,unique_products,first_purchase_date,last_purchase_date,avg_items_per_basket,avg_units_per_line,days_as_customer,purchase_velocity,avg_days_between_purchases,n_return_invoices,return_amount,return_rate,has_returns,churned
12346,133,15,264.8600000000006,77556.46,28,2009-12-14 08:34:00,2011-01-18 10:17:00,6190.416666666667,2184.8529411764707,400,1.1221945137157108,26.733333333333334,3,77291.6,0.2,True,1
12347,54,4,3146.75,3146.7499999999995,90,2010-10-31 14:20:00,2011-04-07 10:43:00,486.25,15.685483870967742,157,0.759493670886076,39.5,0,0.0,0.0,False,0
12348,56,4,1388.4,1388.4,24,2010-09-27 14:59:00,2011-04-05 10:47:00,622.0,62.2,189,0.6315789473684211,47.5,0,0.0,0.0,False,0
12349,215,3,2196.9900000000002,2221.14,91,2009-12-04 12:49:00,2010-10-28 08:23:00,495.5,9.91,327,0.27439024390243905,109.33333333333333,1,24.15,0.3333333333333333,True,0
12352,70,7,864.98,985.31,36,2010-11-12 10:20:00,2011-03-22 16:08:00,72.83333333333333,8.568627450980392,130,1.603053435114504,18.714285714285715,1,120.33,0.14285714285714285,True,0
12353,12,2,406.76,406.76,23,2010-10-27 12:44:00,2011-05-19 17:47:00,106.0,8.833333333333334,204,0.29268292682926833,102.5,0,0.0,0.0,False,1
12355,22,2,947.61,947.6099999999999,35,2010-05-21 11:59:00,2011-05-09 13:49:00,271.5,15.514285714285714,353,0.1694915254237288,177.0,0,0.0,0.0,False,1
12356,53,5,5555.33,5555.33,103,2010-10-11 09:42:00,2011-04-08 12:33:00,674.4,24.794117647058822,179,0.8333333333333334,36.0,0,0.0,0.0,False,0
12358,183,3,2519.01,2519.01,51,2009-12-08 07:59:00,2010-11-29 10:56:00,275.3333333333333,14.75,356,0.25210084033613445,119.0,0,0.0,0.0,False,0
12359,48,11,4819.97,4949.77,192,2009-12-05 13:32:00,2011-04-13 13:38:00,217.375,8.164319248826292,494,0.6666666666666666,45.0,3,129.8,0.2727272727272727,True,0
12360,8,4,2234.41,2234.41,107,2010-02-22 09:32:00,2011-05-23 09:43:00,429.25,13.310077519379846,455,0.2631578947368421,114.0,0,0.0,0.0,False,0
12361,95,4,451.25,451.25,17,2010-01-26 14:37:00,2011-02-25 13:51:00,57.75,9.24,394,0.3037974683544304,98.75,0,0.0,0.0,False,1
12362,33,3,879.4399999999999,884.34,51,2011-02-17 10:30:00,2011-04-28 09:12:00,249.0,9.222222222222221,69,1.2857142857142856,23.333333333333332,1,4.9,0.3333333333333333,True,0
12369,221,3,1511.15,1511.1499999999999,89,2010-03-08 08:09:00,2010-10-22 13:13:00,411.3333333333333,13.71111111111111,228,0.3930131004366812,76.33333333333333,0,0.0,0.0,False,1
12370,82,6,3221.0299999999997,3221.0299999999997,149,2010-02-09 09:41:00,2011-03-10 12:48:00,369.3333333333333,13.112426035502958,394,0.4556962025316456,65.83333333333333,0,0.0,0.0,False,0
12371,217,3,1819.42,1819.42,90,2010-03-04 18:23:00,2010-10-26 13:37:00,278.6666666666667,8.277227722772277,235,0.38135593220338987,78.66666666666667,0,0.0,0.0,False,0
12372,20,2,842.92,842.9199999999998,31,2011-02-16 12:46:00,2011-05-11 10:43:00,294.0,15.891891891891891,83,0.7142857142857143,42.0,0,0.0,0.0,False,0
12373,119,3,927.65,927.6500000000001,35,2010-02-04 12:08:00,2011-02-01 13:10:00,170.33333333333334,10.645833333333334,362,0.24793388429752067,121.0,0,0.0,0.0,False,1
12374,229,2,2046.29,2046.29,46,2010-04-30 14:01:00,2010-10-14 10:16:00,507.5,20.714285714285715,166,0.3592814371257485,83.5,0,0.0,0.0,False,0
12376,197,2,383.15000000000003,383.15000000000003,10,2010-10-18 08:42:00,2010-11-15 12:15:00,118.5,21.545454545454547,28,2.0689655172413794,14.5,0,0.0,0.0,False,1
12377,123,4,3266.32,3266.3199999999997,128,2010-04-29 15:34:00,2011-01-28 15:45:00,525.25,14.006666666666666,274,0.4363636363636364,68.75,0,0.0,0.0,False,1
12379,230,2,692.98,692.9799999999999,36,2010-06-23 12:49:00,2010-10-13 14:46:00,201.5,10.333333333333334,112,0.5309734513274337,56.5,0,0.0,0.0,False,0
12380,189,5,4747.44,4782.84,117,2010-02-15 12:05:00,2010-11-23 12:06:00,551.0,13.197604790419161,281,0.5319148936170213,56.4,1,35.400000000000006,0.2,True,0
12383,46,5,1547.86,1559.1099999999997,81,2010-12-22 14:28:00,2011-04-15 14:10:00,375.0,16.666666666666668,113,1.3157894736842106,22.8,1,11.25,0.2,True,0
12386,145,2,660.8,660.8000000000001,10,2010-12-08 09:53:00,2011-01-06 12:37:00,284.0,56.8,29,2.0,15.0,0,0.0,0.0,False,1
12388,83,5,1886.7,1886.6999999999998,52,2010-05-06 12:54:00,2011-03-09 15:47:00,174.0,10.74074074074074,307,0.48701298701298695,61.6,0,0.0,0.0,False,0
12389,210,3,1433.33,1433.33,41,2010-02-22 10:15:00,2010-11-02 11:52:00,204.66666666666666,12.53061224489796,253,0.3543307086614173,84.66666666666667,0,0.0,0.0,False,1
12391,272,6,2286.93,2312.53,159,2010-02-15 10:12:00,2010-09-01 12:38:00,184.0,5.508982035928144,198,0.9045226130653266,33.166666666666664,1,25.6,0.16666666666666666,True,0
12393,53,6,1855.25,1877.9499999999998,53,2010-10-07 13:49:00,2011-04-08 09:45:00,203.4,12.402439024390244,182,0.9836065573770493,30.5,1,22.7,0.16666666666666666,True,0
12395,19,11,3240.56,3258.3599999999997,116,2010-04-16 10:16:00,2011-05-12 10:15:00,342.6666666666667,19.76923076923077,390,0.8439897698209718,35.54545454545455,2,17.8,0.18181818181818182,True,0
12399,21,5,1532.6,1532.6000000000001,54,2010-03-05 08:45:00,2011-05-10 10:22:00,374.4,21.272727272727273,431,0.3472222222222222,86.4,0,0.0,0.0,False,0
12402,131,7,1124.15,1136.9,42,2010-02-07 12:41:00,2011-01-20 13:49:00,96.0,9.0,347,0.603448275862069,49.714285714285715,1,12.75,0.14285714285714285,True,1
12406,196,4,2791.46,2975.0599999999995,44,2010-01-11 14:04:00,2010-11-16 11:55:00,532.6666666666666,26.19672131147541,308,0.3883495145631068,77.25,1,183.6,0.25,True,0
